file_name,text,terms,pronunciations,voice,speed,language
audio/0.wav,"Durante a reunião, discutimos a integração do Imgur com a nova plataforma desenvolvida por Łukasz Kubot.","['Imgur', 'Łukasz Kubot']","['ímadjãr', 'lúkax kubót']",pf_dora,1.2,p
audio/1.wav,Adriana Pirtea apresentou os resultados da pesquisa de mercado realizada em Milanówek.,"['Adriana Pirtea', 'Milanówek']","['adriána pirtéa', 'milanóvek']",pm_santa,1,p
audio/2.wav,Alicia Vikander sugeriu que utilizássemos a tecnologia da Ball para melhorar nossa produção.,"['Alicia Vikander', 'Ball']","['alícia vikânder', 'bóu']",pm_santa,1.1,p
audio/3.wav,Chaloem Phra Kiat aprovou o orçamento para a expansão da filial em Leopoldstadt.,"['Chaloem Phra Kiat', 'Leopoldstadt']","['tchalãm frá kiát', 'leópoltishtát']",pm_santa,1.3,p
audio/4.wav,Amalia e Fara estão colaborando no desenvolvimento do novo software de gestão.,"['Amalia', 'Fara']","['ãmália', 'fára']",pm_alex,1.3,p
audio/5.wav,Ion I. C. Brătianu liderou a análise de dados demográficos de Ochiltree County.,"['Ion I. C. Brătianu', 'Ochiltree County']","['íon í tché bratiánu', 'ókãltri']",pm_alex,1.1,p
audio/6.wav,A equipe de Wharton County está trabalhando em conjunto com a unidade de Wharton para otimizar os processos.,"['Wharton County', 'Wharton']","['uórtãn', 'uórton']",pm_alex,1.4,p
audio/7.wav,Os resultados da pesquisa em Ban Tak foram comparados com os dados de Ban Chang.,"['Ban Tak', 'Ban Chang']","['bãn ták', 'bãn tcháng']",pf_dora,1,p
audio/8.wav,A reunião abordou a expansão das operações em Bang Bua Thong e Bang Lamung.,"['Bang Bua Thong', 'Bang Lamung']","['báng búa tông', 'báng lamúng']",pf_dora,1.3,p
audio/9.wav,A análise de mercado em Bang Pa-in foi concluída com a ajuda da equipe de Bo Kluea.,"['Bang Pa-in', 'Bo Kluea']","['báng pá-in', 'bó klúa']",pm_alex,1.3,p
audio/10.wav,Łukasz Kubot propôs uma nova estratégia de marketing utilizando o Imgur.,"['Imgur', 'Łukasz Kubot']","['ímadjãr', 'lúkax kubót']",pm_santa,1.2,p
audio/11.wav,A pesquisa conduzida por Adriana Pirtea em Milanówek revelou importantes insights.,"['Adriana Pirtea', 'Milanówek']","['adriána pirtéa', 'milanóvek']",pm_alex,1.3,p
audio/12.wav,Alicia Vikander destacou a importância da parceria com a Ball para o próximo trimestre.,"['Alicia Vikander', 'Ball']","['alícia vikânder', 'bóu']",pm_santa,1.3,p
audio/13.wav,Chaloem Phra Kiat visitará Leopoldstadt para discutir os planos de expansão.,"['Chaloem Phra Kiat', 'Leopoldstadt']","['tchalãm frá kiát', 'leópoltishtát']",pm_alex,1.3,p
audio/14.wav,Amalia e Fara estão desenvolvendo um novo modelo de negócios para a empresa.,"['Amalia', 'Fara']","['ãmália', 'fára']",pm_alex,1.1,p
audio/15.wav,Ion I. C. Brătianu apresentou os dados de crescimento de Ochiltree County na última reunião.,"['Ion I. C. Brătianu', 'Ochiltree County']","['íon í tché bratiánu', 'ókãltri']",pf_dora,1.3,p
audio/16.wav,A colaboração entre Wharton County e Wharton está gerando ótimos resultados.,"['Wharton County', 'Wharton']","['uórtãn', 'uórton']",pf_dora,1.2,p
audio/17.wav,Os dados de Ban Tak foram integrados ao sistema de Ban Chang para análise.,"['Ban Tak', 'Ban Chang']","['bãn ták', 'bãn tcháng']",pf_dora,1.4,p
audio/18.wav,A expansão das operações em Bang Bua Thong e Bang Lamung foi aprovada.,"['Bang Bua Thong', 'Bang Lamung']","['báng búa tông', 'báng lamúng']",pm_santa,1.2,p
audio/19.wav,A equipe de Bang Pa-in está colaborando com Bo Kluea para otimizar os processos.,"['Bang Pa-in', 'Bo Kluea']","['báng pá-in', 'bó klúa']",pm_santa,1.1,p
audio/20.wav,Łukasz Kubot está liderando a campanha de marketing no Imgur.,"['Imgur', 'Łukasz Kubot']","['ímadjãr', 'lúkax kubót']",pm_santa,1.3,p
audio/21.wav,Adriana Pirtea está coordenando a pesquisa de mercado em Milanówek.,"['Adriana Pirtea', 'Milanówek']","['adriána pirtéa', 'milanóvek']",pm_alex,1.1,p
audio/22.wav,Alicia Vikander sugeriu uma parceria estratégica com a Ball.,"['Alicia Vikander', 'Ball']","['alícia vikânder', 'bóu']",pf_dora,1,p
audio/23.wav,Chaloem Phra Kiat está revisando os planos de expansão em Leopoldstadt.,"['Chaloem Phra Kiat', 'Leopoldstadt']","['tchalãm frá kiát', 'leópoltishtát']",pf_dora,1.2,p
audio/24.wav,Amalia e Fara estão desenvolvendo novas estratégias de marketing.,"['Amalia', 'Fara']","['ãmália', 'fára']",pf_dora,1.1,p
audio/25.wav,Ion I. C. Brătianu está analisando os dados de Ochiltree County.,"['Ion I. C. Brătianu', 'Ochiltree County']","['íon í tché bratiánu', 'ókãltri']",pm_santa,1.2,p
audio/26.wav,A equipe de Wharton County está colaborando com Wharton para melhorar os processos.,"['Wharton County', 'Wharton']","['uórtãn', 'uórton']",pm_alex,1.3,p
audio/27.wav,Os resultados da pesquisa em Ban Tak foram comparados com Ban Chang.,"['Ban Tak', 'Ban Chang']","['bãn ták', 'bãn tcháng']",pm_santa,1.1,p
audio/28.wav,A expansão das operações em Bang Bua Thong e Bang Lamung foi discutida.,"['Bang Bua Thong', 'Bang Lamung']","['báng búa tông', 'báng lamúng']",pf_dora,1,p
audio/29.wav,A equipe de Bang Pa-in está colaborando com Bo Kluea para otimizar os processos.,"['Bang Pa-in', 'Bo Kluea']","['báng pá-in', 'bó klúa']",pm_alex,1.1,p
audio/30.wav,Łukasz Kubot está liderando a campanha de marketing no Imgur.,"['Imgur', 'Łukasz Kubot']","['ímadjãr', 'lúkax kubót']",pm_alex,1.3,p
audio/31.wav,Adriana Pirtea está coordenando a pesquisa de mercado em Milanówek.,"['Adriana Pirtea', 'Milanówek']","['adriána pirtéa', 'milanóvek']",pm_santa,1.2,p
audio/32.wav,Alicia Vikander sugeriu uma parceria estratégica com a Ball.,"['Alicia Vikander', 'Ball']","['alícia vikânder', 'bóu']",pf_dora,1.1,p
